id,name,rating
862,Toy Story,3
8844,Jumanji,3
949,Heat,3
710,GoldenEye,2
1408,Cutthroat Island,3
524,Casino,3
4584,Sense and Sensibility,2
5,Four Rooms,3
8012,Get Shorty,3
1710,Copycat,2
451,Leaving Las Vegas,3
902,La Cité des Enfants Perdus,3
63,Twelve Monkeys,3
687,Dead Man Walking,3
577,To Die For,2
807,Se7en,3
8391,When Night Is Falling,3
629,The Usual Suspects,3
2054,Mr. Holland's Opus,2
4482,Gazon maudit,2
755,From Dusk Till Dawn,3
27526,The Crossing Guard,2
400,Things to Do in Denver When You're Dead,1
880,Antonia,2
8447,Angels and Insects,2
2086,Nick of Time,3
406,La Haine,3
2045,Unforgettable,3
688,The Bridges of Madison County,2
197,Braveheart,3
103,Taxi Driver,3
2074,Flirting with Disaster,3
27793,The NeverEnding Story III,2
568,Apollo 13,3
414,Batman Forever,2
649,Belle de jour,3
1873,Beyond Rangoon,3
5894,Blue in the Face,3
8839,Casper,1
8963,Crimson Tide,2
26564,Crumb,3
8068,Desperado,4
8512,Devil in a Blue Dress,3
1572,Die Hard: With a Vengeance,3
6520,First Knight,3
8973,Lord of Illusions,3
2293,Mallrats,3
1642,The Net,3
32646,Safe,3
281,Strange Days,3
5967,Les parapluies de Cherbourg,2
3512,Under Siege 2: Dark Territory,3
65796,Wild Bill,4
26258,Bushwhacked,3
76,Before Sunrise,2
6715,The Cure,3
2292,Clerks,3
1909,Don Juan DeMarco,3
8984,Disclosure,3
4954,Drop Zone,3
522,Ed Wood,3
397,French Kiss,2
1024,Heavenly Creatures,3
628,Interview with the Vampire,3
6280,Junior,2
6071,Kiss of Death,2
11,Star Wars,3
4476,Legends of the Fall,2
32325,Mi Vida Loca,3
3036,Frankenstein,3
8986,Milk Money,2
1945,Nell,4
241,Natural Born Killers,2
527,Once Were Warriors,4
6950,Outbreak,3
101,Léon,3
2307,A Pyromaniac's Love Story,2
680,Pulp Fiction,3
3586,Prêt-à-Porter,3
110,Trois couleurs : Rouge,4
108,Trois couleurs : Bleu,2
109,Trois couleurs : Blanc,3
159185,Pao Da Shuang Deng,3
2636,The Specialist,2
2164,Stargate,2
278,The Shawshank Redemption,3
193,Star Trek: Generations,2
95963,The Walking Dead,3
1587,What's Eating Gilbert Grape,3
2064,While You Were Sleeping,3
236,Muriel's Wedding,3
3049,Ace Ventura: Pet Detective,2
2759,"The Adventures of Priscilla, Queen of the Desert",3
888,The Flintstones,2
13,Forrest Gump,3
712,Four Weddings and a Funeral,2
8587,The Lion King,2
1689,Little Buddha,3
854,The Mask,3
2788,Reality Bites,3
8987,The River Wild,3
8831,Timecop,3
315,"Faster, Pussycat! Kill! Kill!",2
8011,Highlander III: The Sorcerer,4
2654,In the Mouth of Madness,3
2758,Addams Family Values,2
306,Beverly Hills Cop III,4
26203,Blink,3
178,Blown Away,3
4722,Body Snatchers,3
26391,Cabin Boy,3
6075,Carlito's Way,4
2124,Color of Night,3
49299,Dangerous Game,3
26141,Fatal Instinct,4
5503,The Fugitive,3
2087,The Getaway,3
4916,Guilty as Sin,3
2019,Hard Target,4
26271,Live Nude Girls,3
